Username,Last Name,First Name,Email,End-of-Line Indicator
#Ben.Kenbobi,Kenbobi,Benjamin,ben.kenbobi@bournemouth.ac.uk,#
#Bob.Fett,Fett,Bob,bob.fett@bournemouth.ac.uk,#
#Lance.Calropian,Calropian,Lance,sboxtest4@bournemouth.ac.uk,#
#Leila.Origami,Origami,Leila,sboxtest1@bournemouth.ac.uk,#
#Max.Windwho,Windwho,Max,sboxtest5@bournemouth.ac.uk,#
#Paul.Damron,Damron,Paul,sboxtest6@bournemouth.ac.uk,#
#Poppy.Amidodo,Amidodo,Poppy,teststudent@bournemouth.ac.uk,#
#rey.sandman,Sandman,Rey,rey.sandman@bournemouth.ac.uk,#
#Zoe.Weasel,Weasel,Zoe,sboxtest10@bournemouth.ac.uk,#
hsdjfhjf,fsdfsd,fsdfd,dsfsdf@gmail.com,#
asfdsfsd,dsfsdfsdf,fsdfd,werwerwer@gmail.com,#
